Men TT Cat 4/5
Place,License #,First,Last,City,State,Time,Team
1,493740,Daniel,IACHETTA,Toms River,NJ,17:46.57,Team B3 Bicycles
2,495687,David,BLEAKLEY,Howell,NJ,18:13.65,Five Four Sports/Cycles 54
3,0,Bob,KROME,,,19:11.77,
4,100877,Andrew,JOHNSTON,Sparta,NJ,19:45.13,US Military Endurance Sports
5,356612,Nick,PACHUDA,West Chester,PA,19:53.41,
6,0,Pete,JOACHIM,,,21:00.23,Paramount Multisport
7,527939,Joe,LOPORTO,Ridgefield Park,NJ,21:00.39,Fit Werx
8,0,Glenn,JANKOWITZ,,,21:03.90,Team Somerset
9,228355,Jeff,BOLCAVAGE,Harford,PA,22:08.69,Tioga Velo
10,308097,Kevin,ELMORE,Hamilton,NJ,24:19.49,Redlined Racing
11,0,David,DESIMONE,,,24:45.81,Paramount Multisport
DNS,575712,Dan,DALFONZO,Bridgewater,NJ,,

Men Non-TT Open
Place,License #,First,Last,City,State,Time,Team
1,189842,Andreas,RUNGGATSCHER,Chester,NY,18:04.64,FinKraft Cycling Team
2,226183,Victor,SCHEPISI,Succasunna,NJ,18:28.89,Team Marty's
3,492884,Leonard,VELLUCCI,Langhorne,PA,18:36.55,Team B3 Bicycles
4,396025,Pj,BOTTOMS,Westtown,NY,18:57.98,skylands cycling
5,341454,Mitch,SONIES,Brooklyn,NY,19:00.51,CRCA/Jordan Racing
6,523637,Chris,FORTE,Dobbs Ferry,NY,19:10.79,Rivertowns Racing
7,370713,Brian,BARRINGER,Jersey City,NJ,19:26.97,
8,0,Luis,NAVARRO,,,20:55.74,Strictly bicycles
9,58319,Jonathan,NABUT,Allamuchy,NJ,20:58.53,Team Marty's
10,573198,Andrew,THOME,Philadelphia,PA,21:03.69,
11,42551,Alan,CONNELL,Far Hills,NJ,21:17.09,TMB Racing
12,6945,Ray,CIPOLLINI,Stanhope,NJ,21:58.27,Skylands Cycling
13,502122,Alexander,PAVLOTSKIY,Staten Island,NY,23:27.38,Death Row Velo
DNS,365557,John,SCULLY,Sparta,NJ,,Team Pro Power Cycle Solutions

Men Non-TT Cat 5
