Men TT Cat 4/5
1,405715,Connor,Sokol,,,22:53.0,CRCA/42x21ATQ
2,411059,Dennis,Arnold,,,24:44.0,
3,502122,Alexander,Pavlotksiy,,,25:00.0,Death Row Velo
4,521422,Timmy,Downs,,,25:23.0,Team Somerset
5,493740,Daniel,Iachetta,,,25:40.0,Team B3 Bicycles
6,495687,David,Bleakley,,,26:09.0,Cycles 54 / Thrive Spine & Sport Cycling Team
7,555341,Roman,Ryba Jr,,,27:32.0,Skylands Cycling
8,447791,Troy,Doll,,,28:45.0,Team Hb/Hilltop
9,528406,Futoshi,Mukai,,,28:49.0,CRCA / Rapha Cycling Club
10,100877,Andrew,Johnston,,,31:02.0,US Military Endurance Sports
11,395708,Kevin,Elmore,,,40:09.0,Redlined Racing

Women Cat 4/5
1,459436,Julia,Franco,,,30:55.0,Liberty Cycle
2,184184,Susan,Jankowitz,,,31:48.0,Team Somerset
3,395708,Diane,Elmore,,,38:58.0,Team EPS/M3 p/b Brielle Cyclery

Masters Men 45+
1,189842,Andreas,Runggatscher,,,21:28.0,FinKraft Cycling Team
2,93139,Brian,Lariviere,,,22:04.0,Cycle Craft/Bulldogs
3,457354,Mark,Robohm,,,23:38.0,ECE Racing
4,361411,Fred,Tanjutco,,,23:45.0,Team B3 Bicycles
5,ONE DAY,james,Gann,,,31:30.0,

Masters Men 50+
1,33970,Gary,Steinberg,,,21:49.0,Brauer - Mick Management
2,242851,glenn,babikian,,,23:34.0,Finkraft Cycling Team
3,298400,Terrence,Chioffi,,,24:53.0,CRCA/42x21ATQ
4,55908,Dan,Ciano,,,27:23.0,Colavita Racing
5,182229,Francis,Cinoa,,,28:20.0,Firenze Cycling
6,ONE DAY,Darryl,Brasseale,,,31:20.0,

Masters Men 55+
1,432877,Michael J,Johnson,,,23:01.0,Lackawanna Valley Race Team
2,203530,Joe,Straub,,,23:13.0,Death Row Velo
3,294981,Fred,Rica,,,23:30.0,Redlined Racing
4,45870,Michael,Rosenhaus,,,23:31.0,Central Jersey Cycling Team
5,ONE DAY,Tom,Olds,,,24:29.0,
6,1620,Rick,Anderson,,,24:44.0,Team Somerset
7,67395,Kevin,Kolodziejski,,,24:58.0,Shirk's Racing Masters Team
8,196092,Chuck,Crocco,,,25:31.0,Team Somerset
9,110675,Clay,Allen,,,26:31.0,Pro Pedals Bike Shop
10,557622,Dave,Kavanaugh,,,27:25.0,Team ProPower/Cycle Solutions
11,58319,jonathan,nabut,,,28:04.0,Team Marty's
12,60450,Walter C,Kowalski,,,28:47.0,Jaeger Wheelmen
13,308257,Chris,Dawson,,,31:39.0,Redlined Racing
14,193441,Thomas,Cheney,,,33:35.0,PSCC - Peddler's Shop Cycling Club/PSRacing/BTB

Masters Men 60+
1,188836,John,Dalzell,,,26:26.0,PA Masters RC p/b Piscitello Law
2,211727,Bob,Meikle,,,26:56.0,
3,241588,Timothy,Saxon,,,27:15.0,Team ProPower/Cycle Solutions
4,248803,Andrew,Buchanan,,,27:40.0,Team ProPower/Cycle Solutions
5,423797,Dan,Marion,,,28:50.0,Watts Up Cycling
6,201669,Richard,Wolf,,,29:01.0,CRCA/Foundation
7,311484,Samuel R,Hanford,,,30:46.0,CCAP

Masters Men 65+
1,181340,Michael,MacLaga,,,27:08.0,Colavita Racing
2,59096,Steven,Petouvis,,,27:13.0,Liberty Cycle
3,45841,Ismael,Reyes,,,29:59.0,Liberty Cycle

Men Non-TT Open
1,241308,Michael,Boardman,,,21:39.0,CRCA / Rockstar Games
2,396025,pj,bottoms,,,22:04.0,skylands cycling
3,396145,Zakary,Andrews,,,22:27.0,Doylestown Bike Works p/b Fred Beans
4,ONE DAY,Eric,Donten,,,22:34.0,Action Bikes and Outdoor
