Men TT Cat 4/5
1,493740,Daniel,IACHETTA,,,00:19:21,Team B3 Bicycles
2,433233,Sam,HOFFBERGER,,,00:19:32,Joe's Bike Shop Racing Team
3,495687,David,BLEAKLEY,,,00:19:41,Cycles 54 / Thrive Spine & Sport Cycling Team
4,538438,Justin,CAPETOLA,,,00:19:52,Blue Bell Private Wealth Management p/b Cannondale
5,509269,Kc,KULP,,,00:20:36,Wooden Wheels Racing
6,,Louis,BEVILACQUA,,,00:22:11,
7,,Tom,MAIORIELLO,,,00:23:00,Caffeinated
8,308097,Kevin,ELMORE,,,00:23:25,Redlined Racing

Women TT Cat 4/5
1,429495,Monika,LUKENS,,,00:20:57,Team ETA
2,459436,Julia,FRANCO,,,00:21:50,Liberty Cycle
3,395708,Diane,ELMORE,,,00:23:20,Team EPS/M3 p/b Brielle Cyclery
4,574797,Jillian,HARRISON,,,00:24:03,
5,482097,Shanna,LESICO,,,00:24:10,Active Yards / Chester County Velo
6,576209,Donna,VENTURA,,,00:24:49,Team EPS/M3 p/b Brielle Cyclery
7,531247,Jodie,PELLISH,,,00:25:53,Sturdy Girl Cycling
DNS,296046,Leisha,JACKUCEWICZ,,,,PSRacing/BTB
DNS,459029,Robin,WAHL,,,,PSRACING/BTB

Junior Men 13-14
1,494054,Frank,VILLANI,,,00:24:22,Team Somerset
2,504757,Thomas,BYRNE,,,00:30:39,BYRNE Racing LLC

Junior Men 15-16
1,499568,Harrison,REDMOND,,,00:26:15,Team Somerset

Junior Men 17-18
1,548527,Andrew,MELVILLE,,,00:26:27,

Junior Men 9-12
1,576355,Seiji,YOSHIHIRA,,,00:29:03,Team B3 Bicycles

Masters Men 45+
1,132630,Patrick,WALTER,,,00:17:42,Aistriu Cycling
2,189842,Andreas,RUNGGATSCHER,,,00:18:14,FinKraft Cycling Team
3,361411,Fred,TANJUTCO,,,00:18:46,Team B3 Bicycles
4,343490,Greg,KAPLAN,,,00:19:12,QCW Cycling P/B Cadence Cycling
5,331982,Patrick,DARKEN,,,00:19:12,Aistriu Cycling
6,378628,Joshua,DERINGER,,,00:20:16,Cadence Racing
7,73550,Joe,LANZA,,,00:20:30,Guy's Racing Club
8,237044,Dan,ANTONELLI,,,00:20:39,KickCharge Creative
9,251936,Nick,PICCONE,,,00:21:35,Caffeinated Cyclist
10,64565,Christopher,BYRNE,,,00:32:12,BYRNE Racing LLC
11,,Brian,WISE,,,00:41:42,

Masters Men 50+
1,242851,Glenn,BABIKIAN,,,00:18:56,Finkraft Cycling Team
2,298400,Terrence,CHIOFFI,,,00:19:05,CRCA/42x21ATQ
3,98343,Rich,CAROLAN,,,00:20:02,Team Type 1 Foundation
4,141829,Steve,SAMBRANO,,,00:20:09,Guy's Racing Club
5,62978,Christopher,HOPE,,,00:20:42,PSRacing/BTB
