Men TT Cat 4/5
Place,License #,First,Last,City,State,Time,Team
1,493740,Daniel,IACHETTA,Toms River,NJ,24:17.0,Team B3 Bicycles
2,495687,David,BLEAKLEY,Howell,NJ,24:27.4,Cycles 54 / Thrive Spine & Spor
3,223048,Jeff,LAMB,Basking Ridge,NJ,25:19.6,Team ProPower/Cycle Solutions
4,509269,Kc,KULP,Coatesville,PA,26:06.3,Wooden Wheels Racing
5,575712,Dan,DALFONZO,Bridgewater,NJ,26:30.7,
6,447791,Troy,DOLL,Morningside,NJ,26:39.6,Team Hb Hilltop
7,0,Pete,JOACHIM,,,26:54.3,Paramount Multisport
8,0,Timothy,ARNOLD,,,27:21.0,Paramount
9,0,Marc,MACNAUGHTON,,,29:07.4,TTK ELITE
10,0,David,DESIMONE,,,29:07.7,Paramount Multisport
11,0,Josh,LICATA,,,29:20.3,
12,308097,Kevin,ELMORE,Hamilton,NJ,30:06.2,Redlined Racing
13,496380,Stephen,SCHENKEL,Macungie,PA,31:41.3,

Men Non-TT Open
Place,License #,First,Last,City,State,Time,Team
1,241308,Michael,BOARDMAN,Brooklyn,NY,23:45.4,CRCA / Rockstar Games
2,355802,Tim,WARD,Hastings On Hudson,NY,23:58.7,Rivertowns Racing
3,424213,Christopher,DUDKO,Hastings On Hudson,NY,24:13.6,Rivertowns Racing
4,45870,Michael,ROSENHAUS,Morristown,NJ,24:15.2,Central Jersey Cycling Team
5,429053,David,BROWN,Hillsborough,NJ,24:21.4,Century Road Club Of America
6,502122,Alexander,PAVLOTSKIY,Staten Island,NY,24:27.9,Death Row Velo
7,433025,Don,SCHATZ,Summit,NJ,24:28.4,Colavita/Whole Foods
8,492884,Leonard,VELLUCCI,Langhorne,PA,24:40.8,Team B3 Bicycles
9,370713,Brian,BARRINGER,Jersey City,NJ,24:41.7,
10,493740,Daniel,IACHETTA,Toms River,NJ,24:50.8,Team B3 Bicycles
11,396025,Pj,BOTTOMS,Westtown,NY,24:54.2,skylands cycling
12,374874,Brandy,BOYLE,Whippany,NJ,26:30.0,Team ProPower/Cycle Solutions
13,365557,John,SCULLY,Sparta,NJ,28:08.5,Team Pro Power Cycle Solutions
14,0,Michael,SMITH,,,28:47.8,
15,525439,Arthur,NOLAND,Lake Mary,FL,28:50.9,Colavita racing

Men Non-TT Cat 5
Place,License #,First,Last,City,State,Time,Team
1,531982,Rick,PEREZ,Milford,NJ,23:13.8,Team B3 Bicycles
2,547395,Mike,MILLER,Flanders,NJ,23:44.5,FIF Cycling
3,551844,Daryl,SOUTHWOOD,Long Branch,NJ,25:10.1,Team Stages
4,573067,Edward,ICKOWSKI,Wayne,NJ,25:28.6,Nin.jacycling
5,308868,Eric,MODEL,Short Hills,NJ,25:39.6,Team ProPower/Cycle Solutions
6,464428,Nicholas,CHAYA,Jersey City,NJ,26:11.9,Team Pro Power/Cycle Solutions
7,529734,Joe,EMDE,Trenton,NJ,26:30.3,Team B3 Bicycles
8,575160,Dan,WANG,New York,NY,26:45.8,
9,567899,Matthew,BUDOFSKY,Brooklyn,NY,27:20.0,Kissena Cycling Club
10,295,Joel,KELLY,New Albany,IN,27:43.7,Trestle Bridge Racing
11,570794,Joseph,FAMULARO,Woodbridge Township,NJ,29:14.9,
12,575081,Rick,GELMETTI,Westfield,NJ,30:17.0,
13,0,Alfred,MEYER,,,34:12.5,
DNS,313990,Russell,MCBRIDE,Denville,NJ,,Team ProPower / Cycle Solutions
