Time Trial Men Masters 45-99
Place,License,First,Last,City,State,Time,Team
1,189842,Andreas,RUNGGATSCHER,,,26:12.8,FinKraft Cycling Team
2,52604,Steven,WARD,,,26:26.2,Morris Velo Sports
3,361411,Fred,TANJUTCO,,,27:58.5,Team B3 Bicycles
4,93139,Brian,LARIVIERE,,,28:18.1,Cycle Craft/Bulldogs
5,237044,Dan,ANTONELLI,,,30:44.7,KickCharge Creative

Time Trial Men Masters 50-99
Place,License,Last,First,,,Time,State
1,242851,Glenn,BABIKIAN,,,28:00.9,Finkraft Cycling Team
2,226183,Victor,SCHEPISI,,,28:30.8,Team Marty's
3,182229,Francis,CINOA,,,30:20.3,Firenze Cycling
4,279350,T.J.,DITULLIO,,,37:45.1,Action Wheels

Time Trial Men Masters 55-99
1,231788,Ralf,WARMUTH,,,28:09.1,Team SRG
2,294981,Fred,RICA,,,28:09.5,Redlined Racing
3,1620,Rick,ANDERSON,,,28:45.7,Team Somerset
4,557622,Dave,KAVANAUGH,,,29:03.2,Team ProPower/Cycle Solutions
5,67395,Kevin,KOLODZIEJSKI,,,29:15.0,Shirk's Racing Masters Team
6,110675,Clay,ALLEN,,,29:52.4,Pro Pedals Bike Shop
7,196092,Chuck,CROCCO,,,30:05.1,Team Somerset
8,308257,Chris,DAWSON,,,30:49.8,Redlined Racing
9,58319,Jonathan,NABUT,,,32:26.9,Team Marty's
10,60450,Walter C,KOWALSKI,,,33:02.2,Jaeger Wheelmen

Time Trial Men Masters 60-99
1,35822,Lawrence,TOWNER,,,28:49.9,Team ProPower/Cycle Solutions
2,248803,Andrew,BUCHANAN,,,28:58.6,Team ProPower/Cycle Solutions
3,226542,David,HILTON,,,29:29.5,PA Masters
4,50966,Dana,FALLON,,,29:56.4,Team ProPower/Cycle Solutions
5,241588,Timothy,SAXON,,,29:56.7,Team ProPower/Cycle Solutions
6,439628,David,PRODORUTTI,,,30:09.7,West Chester Cycling Club
7,201669,Richard,WOLF,,,30:29.2,CRCA/Foundation
8,514179,Albert,SAYERS,,,33:17.0,Team ProPower/Cycling Solutions
9,575081,Rick,GELMETTI,,,36:13.8,Team Hb Hilltop
10,20275,Doug,LANDON,,,38:42.8,KickCharge Creative

Time Trial Men Cat 4/5 Open
1,493740,Daniel,IACHETTA,,,28:50.3,Team B3 Bicycles
2,460541,Mark,MORALES,,,29:12.7,FIREHOUSE CYCLES
3,447791,Troy,DOLL,,,32:15.2,Team Hb Hilltop
4,49405,Frank,VILLANI,,,33:16.5,Team Somerset
5,423974,John,DONAHUE,,,34:36.6,Liberty Cycle

Time Trial Men Cat5 Non TT Bike
1,531982,Rick,PEREZ,,,27:19.0,Team B3 Bicycles
2,531000,Joe,TILLMAN,,,28:03.5,FIF Cycling
3,551844,Daryl,SOUTHWOOD,,,29:24.4,Powered by Stages
4,,Eric,PIAZZA,,,29:36.5,
5,573067,Edward,ICKOWSKI,,,29:45.3,Nin.jacycling
6,529734,Joe,EMDE,,,29:55.0,Team B3 Bicycles
7,547395,Mike,MILLER,,,30:28.2,FIF Cycling
8,,Barry,GOLDSCHMIDT,,,30:28.4,Marty's
9,575438,Benjamin,GOODRICH,,,32:06.7,Montclair Bikery Racing
10,,Halvdan,BARRETT,,,32:26.2,Team Elevate
11,565199,Michael,PIGG,,,33:01.9,
12,,Peter,INGRAHAM,,,34:18.0,
13,,Edward,NG,,,35:51.3,
14,570794,Joseph,FAMULARO,,,36:12.5,
15,576633,George,SENGER,,,36:34.6,Brookdale Cycle Squad
16,585495,Dwight,BURGOS,,,45:53.2,

Time Trial Men Masters 65-99
1,181340,Michael,MACLAGA,,,30:22.3,Colavita
2,324824,Tim,ROHRBAUGH,,,30:26.9,South Mountain Velo Club
3,46664,Jim,HARTNETT,,,31:59.7,South Mountain Velo Club
4,18404,Jim,KAELI,,,34:39.3,Colavita - Whole Foods Market R
5,116120,Richard,BRADLEY,,,39:44.0,Team Altantic

Time Trial Women Cat5 Non TT Bike
1,579137,Sandy,NG,,,33:29.6,Unione Sportiva Italiana
2,516293,Olga,GRISHINA,,,33:51.8,Westwood cycle
3,554037,Nancy,TOOLAN,,,34:19.9,Team ProPower/Cycle Solutions
4,577586,Cheryl,KERPEZ,,,34:42.5,Paramount Multisport & Team Ana
5,576441,Priscilla,DEGREGORY,,,38:46.6,Brookdale Cycle Squad
6,546540,Kristine,TANJUTCO,,,53:44.4,Team B3 Bicycles

Time Trial Men Cat1/2/3/4/5 Open
1,132630,Patrick,WALTER,,,25:02.3,Aistriu Cycling
2,459421,Richard,LAVIGNE,,,27:20.7,Crank Addicts p/b Hilltop
3,396025,Pj,BOTTOMS,,,27:38.6,skylands cycling
4,301534,Michael,MALAVARCA,,,28:22.6,Team ProPower Cycle Solutions
5,231403,Robert,RAKOWITZ,,,28:27.0,CRCA/RBNY Racing - Verge Sport
6,179761,Dan,ROSENBAUM,,,32:27.3,CS Velo

Time Trial Men Cat1/2/3/4/5 Non TT Bike
1,93139,Brian,LARIVIERE,,,27:32.8,Cycle Craft/Bulldogs
2,496878,James,KRIZAN,,,27:53.0,CRCA/RBNY Racing-Verge Sport
3,181253,Christopher,SCALZO,,,29:29.7,Team ProPower / Cycle Solutions
4,192230,Mark,COWIN,,,31:25.1,Team ProPower/Cycle Solutions

Time Trial Women Cat1/2/3/4/5 Non TT Bike
1,,Aleksandra,MAZ,,,30:48.2,Pro power/ cycle solutions
2,406983,Jessica,AULISIO GIACCHI,,,33:52.9,Watts Up Cycling
3,209826,Jody,TWER,,,36:25.0,Sturdy Girl Cycling
4,277608,Candace,KENNEDY-HESS,,,45:35.5,Sturdy  Girl / Vanderkitten

Time Trial Women Cat1/2/3/4/5 Open
1,554184,Austin,BARTH,,,30:25.9,Watts Up Cycling
2,382163,Nicole,RAGONESE,,,31:24.2,Watts Up Cycling
3,127444,Ann Marie,MILLER,,,31:50.4,CRCA/NY Vision Group-Fuoriclass
4,499862,Kate,TORMEY,,,31:52.5,Finkraft Cycling Team
5,27456,Jacqueline,PAULL,,,34:25.3,Aistriu Cycling
